output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,style_name,content_name,human_content_similarity,human_style_similarity,human_quality,comments
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4910304274180678,0.5577158781592867,0.0169943609062711,0.2189636365314674,0.1767766952966369,Alternative Hip Hop #2 in G#m.mapped,Zilo,1,3,1,Completely Wrong
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3875435444521173,0.6645137735249265,0.910160848292152,0.343814026834301,0.0834725704117722,Synthwave #3 in Bb.mapped,Zilo,4,3,2,Not good whatsoever
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3787116330754961,0.6203418638177429,0.9257610943723223,0.5001541805663143,0.2121821778466437,Synthwave #5 in Am.mapped,Zilo,4,2,2,not accurate !
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4388953205742204,0.7041595423667021,0.6365266538299017,0.3437954761275735,0.0,Synthwave #4 in Bb.mapped,Zilo,3,2,4,Muscal and interesting but dosen't follow calssic rules of solid arrangement
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4161917060422884,0.7295291756388752,0.8019255023429159,0.6704518948702102,0.0,Synthwave #6 in A.mapped,Zilo,3,3,2,So many mistakes !
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4073383761195048,0.6456148789989107,0.5561154583025805,0.5752106803012902,0.4027503305779218,Synthwave #2 in Gm.mapped,Zilo,3,2,1,Completely Wrong
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3465737504975053,0.8211536753753085,0.8684926208939218,0.714790378847106,0.2513123449750174,Teen Pop #4 in Bb.mapped,Zilo,5,4,3,Very cool untill the last few bars where he goes bananas 
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.4865850784441257,0.3782180190628785,0.0656359928728105,0.403617725292666,,Alternative Hip Hop #2 in G#m.mapped,Zilo,1,1,1,No MUSIC
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.4446199544038713,0.7771952451489045,0.7688262701874734,0.3332512522952204,,Synthwave #6 in A.mapped,Zilo,3,3,2,Awful
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3190465970592914,0.82046112916353,0.8710248541749054,0.6511370513029981,0.0,Teen Pop #4 in Bb.mapped,Zilo,5,5,5,Very Good
