ID,Midi Tracks Titles,Status,Sub Genre,Rename project,Cack Start Point (Project And Mp3),Presets In Folder,track titles,Mp3 In Folder,Export MIDI,Export XML,Stractur,Chord Progretion,Time Signature,BPM,הערות,Midi Tracks - Mp3 Exports,,שיטת הרמזור של מירי
1,Alternative Guitar Rock #1 in Em,,,,,,,,,,,,,,אין פרוייקט,https://drive.google.com/file/d/1OZ5vLhVZI1BwIAJA4bwBQL6Yzp6MxJyo/view?usp=drive_link,,
2,Post Rock #1 in Fm,,,,,,,,,,,,,,אין פרוייקט,https://drive.google.com/file/d/1VnpFdS4R2GLODeP3vr84cRsnoHmCes68/view?usp=drive_link,,
3,-------------------,,,,,,,,,,,,,,,https://drive.google.com/file/d/1u-ZoXvWq8UDxfz98fTsbUR837g71BFTT/view?usp=drive_link,,סאונדים לא משהו 
4,Hard Rock #1 in Em,Approved,Hard Rock,V,V,V,V,V,V,V,V,V,4/4,155,,https://drive.google.com/file/d/1Nknxjv24rDPJ-jyX3_mzI6gojUXIK4eG/view?usp=drive_link,,
5,Hard Rock #2 in D,Approved,Hard Rock,V,V,V,V,V,V,V,V,V,4/4,85,,https://drive.google.com/file/d/15Oqj29hq5pzTaP-OGbBxB4gzUXb5dcQW/view?usp=drive_link,,חסרים כלים
6,Alternative Pop #1 In Am,Approved,Alternative Pop,V,V,V,V,V,V,V,V,V,4/4,120,,https://drive.google.com/file/d/1GpBA2A3-UZiXbxsbK1ejPAXFLJlUTyGp/view?usp=drive_link,,אין מספיק מידע לבוצ׳ר וגם סאונדים לא ברורים
7,Hard Rock #3 in Cm,Approved,Hard Rock,V,V,V,V,V,V,V,V,V,4/4,75,,https://drive.google.com/file/d/1S_J3VYgj-ukiQszj61ydB3WkAAMj1Q2B/view?usp=drive_link,,
8,Rock - Pop #1 in C#m,Approved,Rock - Pop,V,V,V,V,V,V,V,V,V,4/4,70,,https://drive.google.com/file/d/16UXdb26iQetemK6jrfJoKlgLvcN45pKJ/view?usp=drive_link,,מיקס קטנתן וזה שם
9,Rock - Pop #2 in A,Approved,Afrobeat,V,V,V,V,V,V,V,V,V,4/4,140,,https://drive.google.com/file/d/1izT9ReKlw-WHlEvLTO0MtDrnscdVMfnG/view?usp=drive_link,,
10,Pop Punk #1 in D,Approved,Pop - Punk,V,V,V,V,V,V,V,V,V,4/4,180,,https://drive.google.com/drive/folders/1dZBtJkwUjYAegR5h1x9AOJwiyFnCvZyB,,
11,Classic Pop #1 in Am,Approved,Classic Pop,V,V,V,V,V,V,V,V,V,4/4,72,,https://drive.google.com/file/d/1yK2e-ZzCDIx5TD2A21BOAqJX_3z7OIH7/view?usp=drive_link,,זה מעולה!! אבל לבוצ׳ר לא יהיה מה לעשות עם זה 
12,Pop Punk #2 in Em,Approved,Pop - Punk,V,V,V,V,V,V,V,V,V,4/4,124,,https://drive.google.com/file/d/1pIv8V-j-Nfpjz5xk0wbTMRofZU3nUOv1/view?usp=drive_link,, 
13,Alternative Pop #2 In C,Approved,Alternative Pop,V,V,V,V,V,V,V,V,V,4/4,142,,https://drive.google.com/file/d/1EPfB9Ww8KEnpIZwrYPtZ3nmhH8sZVKRa/view?usp=drive_link,,להגדיל פלייבק 
14,Alternative Pop #3 In F#m,Approved,Alternative Pop,V,V,V,V,V,V,V,V,V,4/4,156,,https://drive.google.com/file/d/1xzCFVXyBkktj-wizwWZhsQQuOIKzt7VT/view?usp=drive_link,,אין מספיק מידע לבוצ׳ר וגם סאונדים לא ברורים
15,Pop Punk #3 in Am,Approved,Pop - Punk,V,V,V,V,V,V,V,V,V,4/4,172,,https://drive.google.com/file/d/153-9rws8vJBUT8HHyn1S3y0ZYi3BUo0q/view?usp=drive_link,,זה מעולה!! אבל לבוצ׳ר לא יהיה מה לעשות עם זה 
