output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4910304274180678,0.5577158781592867,0.016994360906271155,0.21896363653146744,0.17677669529663698
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.38754354445211736,0.6645137735249265,0.910160848292152,0.34381402683430107,0.08347257041177225
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.37871163307549616,0.6203418638177429,0.9257610943723225,0.5001541805663143,0.21218217784664373
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4388953205742204,0.7041595423667021,0.6365266538299017,0.34379547612757355,0.0
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4161917060422884,0.7295291756388752,0.8019255023429159,0.6704518948702102,0.0
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.4073383761195048,0.6456148789989107,0.5561154583025805,0.5752106803012902,0.40275033057792187
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T09.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.3465737504975053,0.8211536753753085,0.8684926208939218,0.714790378847106,0.2513123449750174
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.4865850784441257,0.37821801906287855,0.06563599287281052,0.40361772529266604,
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.44461995440387136,0.7771952451489045,0.7688262701874734,0.33325125229522046,
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3190465970592914,0.82046112916353,0.8710248541749054,0.6511370513029981,0.0
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.38402261195348203,0.3482395735158905,0.07502814493581078,0.23487313154430567,0.0
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3370362642267344,0.6386026290223398,0.9336315741668096,0.3342367528656166,0.0
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3161622081322585,0.753404656814661,0.5791093291622696,0.2713792527908978,0.0
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T01.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.3389220020213464,0.6429903036533401,0.9370652817094287,0.4906823204637899,0.2034460631932271
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.49998233065954356,0.5470231295385558,0.04049356309833141,0.18528025433523576,
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T06.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.6,0.39415409928719264,0.6829944309792766,0.691804577565303,0.32053309457971135,0.0
