output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,copy_original_drums
Synthwave #2 in Gm.mapped.Pre_Chorus-Synthwave #2 in Gm.mapped.Pre_Chorus.DV_T09.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.8705987574824083,0.9034905477410334,0.7009058463053784,0.3337244108861188,,
Teen Pop #4 in Bb.mapped.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T09.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.6337237247233856,0.884598854566467,0.9319645850246683,0.7796048927666305,0.2264554068289193,
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T09.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.7204444320473713,0.6097967600483898,0.074005373855624,0.2315884814229865,,
Synthwave #4 in Bb.mapped.Pre_Chorus-Synthwave #4 in Bb.mapped.Pre_Chorus.DV_T09.mid,Synthwave #4 in Bb.mapped.Pre_Chorus.mid,Synthwave #4 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.6576441702729336,0.74920946644878,0.6155302880104998,0.48586799476126563,0.18605210188381283,
Teen Pop #4 in Bb.mapped.Pre_Chorus-Teen Pop #4 in Bb.mapped.Pre_Chorus.DV_T09.mid,Teen Pop #4 in Bb.mapped.Pre_Chorus.mid,Teen Pop #4 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.6400927047813987,0.7996163455463645,0.5552603393153888,0.5982545417562879,0.16666666666666674,
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T09.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.861209377296727,0.8330086412986775,0.8471065371829384,0.5512371432331967,0.19963848257911465,
Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus-Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.DV_T09.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.7655153285802662,0.7017229441993693,0.15965470901979106,0.41668084100363156,0.0,
Synthwave #5 in Am.mapped.Chorus-Synthwave #5 in Am.mapped.Chorus.DV_T09.mid,Synthwave #5 in Am.mapped.Chorus.mid,Synthwave #5 in Am.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.8775628313199494,0.7237607294835652,0.8342836333722922,0.5803010421394837,0.5172935265326569,
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T09.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.9341519710069062,0.8531547283270172,0.8985584791518789,0.4371369276254543,0.5401789639276126,
Synthwave #4 in Bb.mapped.Chorus-Synthwave #4 in Bb.mapped.Chorus.DV_T09.mid,Synthwave #4 in Bb.mapped.Chorus.mid,Synthwave #4 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.8498107670680425,0.7550187303169335,0.337144597094601,0.31682469858227424,0.0,
Synthwave #2 in Gm.mapped.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T09.mid,Synthwave #2 in Gm.mapped.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.7713124492590708,0.7572552465113194,0.6967471733093858,0.6337547235272866,0.3371223788703195,
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T09.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.6508955786281855,0.8927983434097059,0.9321869753433571,0.35383727461215386,0.2652298042215211,
Synthwave #5 in Am.mapped.Pre_Chorus-Synthwave #5 in Am.mapped.Pre_Chorus.DV_T09.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Synthwave #5 in Am.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.9062813667658646,0.7600929815714221,0.2647340387244759,0.7524587164408645,0.11470786693528101,
Synthwave #6 in A.mapped.Chorus-Synthwave #6 in A.mapped.Chorus.DV_T09.mid,Synthwave #6 in A.mapped.Chorus.mid,Synthwave #6 in A.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.7898376908136717,0.6972562448035604,0.5198415055736726,0.34038956268068876,,
Alternative Hip Hop #2 in G#m.mapped.Chorus-Alternative Hip Hop #2 in G#m.mapped.Chorus.DV_T09.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.6824708748072004,0.7545850040727055,0.87255684250542,0.0,,
Synthwave #4 in Bb.mapped.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T09.mid,Synthwave #4 in Bb.mapped.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.6772273646154531,0.7754979189806663,0.669677029943145,0.3564376062984602,0.0,
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T09.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.35401756576374477,0.4927573573095212,0.31339158526400457,0.5688833091987164,0.1961161351381837,
Synthwave #2 in Gm.mapped.Chorus-Synthwave #2 in Gm.mapped.Chorus.DV_T09.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.9245645456137206,0.8504489368232839,0.7292589975984406,0.6050966218236266,0.14543584966911594,
Synthwave #6 in A.mapped.Pre_Chorus-Synthwave #6 in A.mapped.Pre_Chorus.DV_T09.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Synthwave #6 in A.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.6625432137901915,0.7943944116529449,0.6831403309712639,0.7282216925491446,0.3885143449429057,
Synthwave #6 in A.mapped.Verse-Synthwave #6 in A.mapped.Verse.DV_T09.mid,Synthwave #6 in A.mapped.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.7181657726224071,0.888513936320005,0.8550754992409884,0.4958509419969409,0.0,
Teen Pop #4 in Bb.mapped.Chorus-Teen Pop #4 in Bb.mapped.Chorus.DV_T09.mid,Teen Pop #4 in Bb.mapped.Chorus.mid,Teen Pop #4 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.6712781297816314,0.8505623780489512,0.666645938605237,0.8524711553519396,0.3608751587888537,
Synthwave #4 in Bb.mapped.Chorus-Synthwave #4 in Bb.mapped.Chorus.DV_T09_orig_drums.mid,Synthwave #4 in Bb.mapped.Chorus.mid,Synthwave #4 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.8307000264208798,0.8728216563908441,0.5809192176740445,0.7672603131044922,1.0,True
Synthwave #3 in Bb.mapped.Pre_Chorus-Synthwave #3 in Bb.mapped.Pre_Chorus.DV_T09_orig_drums.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Synthwave #3 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.9926895721601614,0.15048147496645348,,0.583459965991578,1.0,True
Alternative Hip Hop #2 in G#m.mapped.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T09_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.7259244101847131,0.6432168752044666,0.07949586773369433,0.4514620223084128,1.0,True
Synthwave #4 in Bb.mapped.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T09_orig_drums.mid,Synthwave #4 in Bb.mapped.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.6796131976592175,0.9059722696681267,0.8320021823036683,0.8492325598623767,1.0,True
Teen Pop #4 in Bb.mapped.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T09_orig_drums.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.6360801896166987,0.8848072011909482,0.9293897411034148,0.7867727603928444,1.0,True
Synthwave #5 in Am.mapped.Verse-Synthwave #5 in Am.mapped.Verse.DV_T09_orig_drums.mid,Synthwave #5 in Am.mapped.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.9417693429158079,0.894522338602478,0.94871070987801,0.8651863056376262,1.0,True
Synthwave #6 in A.mapped.Verse-Synthwave #6 in A.mapped.Verse.DV_T09_orig_drums.mid,Synthwave #6 in A.mapped.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.7194818481563442,0.9369854591486619,0.8965645460050842,0.6079135593648163,1.0,True
Synthwave #3 in Bb.mapped.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T09_orig_drums.mid,Synthwave #3 in Bb.mapped.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.9,0.7032919051246075,0.8388199528851485,0.8451596945386113,0.3052766556743015,1.0,True
Alternative Hip Hop #2 in G#m.mapped.Chorus-Alternative Hip Hop #2 in G#m.mapped.Chorus.DV_T09_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.6824708748072004,0.7476194771314838,0.87255684250542,0.0,,True
Synthwave #4 in Bb.mapped.Pre_Chorus-Synthwave #4 in Bb.mapped.Pre_Chorus.DV_T09_orig_drums.mid,Synthwave #4 in Bb.mapped.Pre_Chorus.mid,Synthwave #4 in Bb.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.6483983425218016,0.8627450854418973,0.6842450790374743,0.7828702434943969,1.0,True
Synthwave #3 in Bb.mapped.Chorus-Synthwave #3 in Bb.mapped.Chorus.DV_T09_orig_drums.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Synthwave #3 in Bb.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.8328048045233281,0.886976669719877,0.8081260479449033,0.28402334676148544,1.0,True
Synthwave #2 in Gm.mapped.Chorus-Synthwave #2 in Gm.mapped.Chorus.DV_T09_orig_drums.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Synthwave #2 in Gm.mapped.Chorus.mid,Chorus,Drums and Velocity,0.9,0.8656667369994726,0.9299280674600305,0.8138975081206187,0.7567514788168952,1.0,True
Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus-Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.DV_T09_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.9,0.7451407830508151,0.7102072443836184,0.14978669588014948,0.5277797711355502,1.0,True
