output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,copy_original_drums_x,style_name,content_name,copy_original_drums_y,human_content_similarity,human_style_similarity,human_quality,comments,orig_csv_name,Unnamed: 4
Synthwave #6 in A.mapped.Chorus-Synthwave #6 in A.mapped.Chorus.DV_T01.mid,Synthwave #6 in A.mapped.Chorus.mid,Synthwave #6 in A.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.5886854505449355,0.5475838623222373,0.7220590921555078,0.5633411611819428,,False,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,True,1.0,1.0,1.0,Not Music,Temparature 0.01 Self_Blend (Mapped),
Synthwave #6 in A.mapped.Chorus-Synthwave #6 in A.mapped.Chorus.DV_T01.mid,Synthwave #6 in A.mapped.Chorus.mid,Synthwave #6 in A.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.5886854505449355,0.5475838623222373,0.7220590921555078,0.5633411611819428,,False,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,False,3.0,5.0,5.0,Great but had one wrong chord !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #6 in A.mapped.Chorus-Synthwave #6 in A.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Chorus.mid,Synthwave #6 in A.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.2469069129641355,0.5624826394734393,0.7380546922466562,0.5720235477487134,,True,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,True,1.0,1.0,1.0,Not Music,Temparature 0.01 Self_Blend (Mapped),
Synthwave #6 in A.mapped.Chorus-Synthwave #6 in A.mapped.Chorus.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Chorus.mid,Synthwave #6 in A.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.2469069129641355,0.5624826394734393,0.7380546922466562,0.5720235477487134,,True,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,False,3.0,5.0,5.0,Great but had one wrong chord !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #6 in A.mapped.Verse-Synthwave #6 in A.mapped.Verse.DV_T01.mid,Synthwave #6 in A.mapped.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7082753344911371,0.9258935649335824,0.70332483137695,0.5233634709613357,,False,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,True,3.0,3.0,2.0,Not Musical whatsoever,Temparature 0.01 Self_Blend (Mapped),
Synthwave #6 in A.mapped.Verse-Synthwave #6 in A.mapped.Verse.DV_T01.mid,Synthwave #6 in A.mapped.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7082753344911371,0.9258935649335824,0.70332483137695,0.5233634709613357,,False,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,False,3.0,2.0,2.0,Super repetitive nd had two wrong chords !,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #6 in A.mapped.Verse-Synthwave #6 in A.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7179138947924989,0.9134298058017232,0.7712566569133452,0.5608307580822224,1.0,True,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,True,3.0,3.0,2.0,Not Musical whatsoever,Temparature 0.01 Self_Blend (Mapped),
Synthwave #6 in A.mapped.Verse-Synthwave #6 in A.mapped.Verse.DV_T01_orig_drums.mid,Synthwave #6 in A.mapped.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.1,0.7179138947924989,0.9134298058017232,0.7712566569133452,0.5608307580822224,1.0,True,Synthwave #6 in A.mapped,Synthwave #6 in A.mapped,False,3.0,2.0,2.0,Super repetitive nd had two wrong chords !,Temparature 0.1 Self_Blend (with varitented drum),
Alternative Hip Hop #2 in G#m.mapped.Chorus-Alternative Hip Hop #2 in G#m.mapped.Chorus.DV_T01.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.0,,,,,False,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,False,5.0,3.0,3.0,Only Piano is playing,Temparature 0.1 Self_Blend (with varitented drum),
Alternative Hip Hop #2 in G#m.mapped.Chorus-Alternative Hip Hop #2 in G#m.mapped.Chorus.DV_T01_orig_drums.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Alternative Hip Hop #2 in G#m.mapped.Chorus.mid,Chorus,Drums and Velocity,0.1,0.0,,,,,True,Alternative Hip Hop #2 in G#m.mapped,Alternative Hip Hop #2 in G#m.mapped,False,5.0,3.0,3.0,Only Piano is playing,Temparature 0.1 Self_Blend (with varitented drum),
Synthwave #2 in Gm.mapped.Pre_Chorus-Synthwave #2 in Gm.mapped.Pre_Chorus.DV_T01.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.8660610850004802,0.8939157490744687,0.6052708704052921,0.352985687610498,,False,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,True,4.0,3.0,3.0,Not accurate,Temparature 0.01 Self_Blend (Mapped),
Synthwave #2 in Gm.mapped.Pre_Chorus-Synthwave #2 in Gm.mapped.Pre_Chorus.DV_T01.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Synthwave #2 in Gm.mapped.Pre_Chorus.mid,Pre_Chorus,Drums and Velocity,0.1,0.8660610850004802,0.8939157490744687,0.6052708704052921,0.352985687610498,,False,Synthwave #2 in Gm.mapped,Synthwave #2 in Gm.mapped,False,5.0,4.0,4.0,Good,Temparature 0.1 Self_Blend (with varitented drum),
